field,mapped_table,mapped_column,possible_other_options
Grade Level,assessment,assessedgradelevel,"[('bellschedulegradelevel', 'gradeleveldescriptorid'), ('courseofferedgradelevel', 'gradeleveldescriptorid'), ('credentialgradelevel', 'gradeleveldescriptorid'), ('educationcontentappropriategradelevel', 'gradeleveldescriptorid'), ('gradeleveldescriptor', 'gradeleveldescriptorid'), ('interventionappropriategradelevel', 'gradeleveldescriptorid'), ('learningstandardgradelevel', 'gradeleveldescriptorid'), ('openstaffpositioninstructionalgradelevel', 'gradeleveldescriptorid'), ('sectionofferedgradelevel', 'gradeleveldescriptorid'), ('studentassessment', 'whenassessedgradeleveldescriptorid'), ('studentassessmentregistration', 'assessmentgradeleveldescriptorid'), ('studentschoolassociation', 'gradelevel')]"
SAT Test Date,assessmentadministrationperiod,begindate,"[('assessmentperiod', 'begindate'), ('gradingperiod', 'begindate'), ('studentassessment', 'administrationdate'), ('studentassessmentstudentobjectiveassessment', 'administrationdate'), ('studentindicator', 'tookelasatexam')]"
Total Score,assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentscore', 'maximumscore'), ('studentassessment', 'result'), ('studentassessmentscoreresult', 'result')]"
Evidence-Based Reading and Writing Section Score,assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentassessmentitem', 'assessmentitemidentificationcode'), ('studentassessmentitem', 'rawscoreresult'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Math Test Score,assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentassessmentitem', 'assessmentitemidentificationcode'), ('studentassessmentitem', 'rawscoreresult'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result'), ('studentindicator', 'tookmathsatexam'), ('task', 'studentuniqueid')]"
Reading Test Score,assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentassessmentitem', 'assessmentitemidentificationcode'), ('studentassessmentitem', 'rawscoreresult'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Writing and Language Test Score,assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentassessmentitem', 'assessmentitemidentificationcode'), ('studentassessmentitem', 'rawscoreresult'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Math Test Score (Repeated),assessment,maxrawscore,"[('assessmentscore', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentassessmentitem', 'assessmentitemidentificationcode'), ('studentassessmentitem', 'rawscoreresult'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Command of Evidence Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Relevant Words in Context Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
